"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Day That Never Comes', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Stone Cold Crazy', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Of Wolf and Man', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Fade to Black', ""Now That We're Dead"", 'ManUNKind', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Day That Never Comes', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Blitzkrieg', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Day That Never Comes', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Day That Never Comes', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Hit the Lights', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"

"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Hit the Lights', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
